Year,Lake,Species,Grand_Total,Comments,Functional_Feeding_Group
1904,Erie,Lake Sturgeon,112,,Benthic invertivore
1904,Erie,Lake Whitefish,364,,Benthic invertivore
1904,Erie,Northern Pike,1159,,Piscivore
1904,Erie,Sauger,,,Piscivore
1904,Erie,Suckers,,,Benthic omnivore
1904,Erie,Walleye,,,Piscivore
1904,Erie,Walleye and Blue Pike,1064,,Piscivore
1904,Erie,White Bass,,,Piscivore
1904,Erie,Yellow Perch,598,,Invertivore
1905,Erie,Blue Pike,,,Piscivore
1905,Erie,Burbot,,,Piscivore
1905,Erie,Carp,,,Benthic omnivore
1905,Erie,Channel Catfish and Bullheads,97,,Benthic omnivore
1905,Erie,Cisco,3015,,Planktivore
1905,Erie,Freshwater Drum,,,Benthic invertivore
1905,Erie,Lake Sturgeon,74,,Benthic invertivore
1905,Erie,Lake Whitefish,304,,Benthic invertivore
1905,Erie,Northern Pike,936,,Piscivore
1905,Erie,Sauger,,,Piscivore
1905,Erie,Suckers,,,Benthic omnivore
1905,Erie,Walleye,,,Piscivore
1905,Erie,Walleye and Blue Pike,1692,,Piscivore
1905,Erie,White Bass,,,Piscivore
1905,Erie,Yellow Perch,553,,Invertivore
1906,Erie,Blue Pike,,,Piscivore
1906,Erie,Burbot,,,Piscivore
1906,Erie,Carp,,,Benthic omnivore
1906,Erie,Channel Catfish and Bullheads,85,,Benthic omnivore
1906,Erie,Cisco,2845,,Planktivore
1906,Erie,Freshwater Drum,,,Benthic invertivore
1906,Erie,Lake Sturgeon,66,,Benthic invertivore
1906,Erie,Lake Whitefish,359,,Benthic invertivore
1906,Erie,Northern Pike,1387,,Piscivore
1906,Erie,Sauger,,,Piscivore
1906,Erie,Suckers,,,Benthic omnivore
1906,Erie,Walleye,,,Piscivore
1906,Erie,Walleye and Blue Pike,1557,,Piscivore
1906,Erie,White Bass,,,Piscivore
1906,Erie,Yellow Perch,334,,Invertivore
1907,Erie,Blue Pike,,,Piscivore
1907,Erie,Burbot,,,Piscivore
1907,Erie,Carp,,,Benthic omnivore
1907,Erie,Channel Catfish and Bullheads,69,,Benthic omnivore
1907,Erie,Cisco,2821,,Planktivore
1907,Erie,Freshwater Drum,,,Benthic invertivore
1907,Erie,Lake Sturgeon,52,,Benthic invertivore
1907,Erie,Lake Whitefish,634,,Benthic invertivore
1907,Erie,Sauger,,,Piscivore
1907,Erie,Suckers,,,Benthic omnivore
1907,Erie,Walleye,,,Piscivore
1907,Erie,Walleye and Blue Pike,1896,,Piscivore
1907,Erie,White Bass,,,Piscivore
1907,Erie,Yellow Perch,473,,Invertivore
1908,Erie,Blue Pike,8734,,Piscivore
1908,Erie,Burbot,147,,Piscivore
1908,Erie,Carp,8983,,Benthic omnivore
1908,Erie,Channel Catfish and Bullheads,550,,Benthic omnivore
1908,Erie,Cisco,15900,,Planktivore
1908,Erie,Freshwater Drum,1394,,Benthic invertivore
1908,Erie,Lake Sturgeon,170,,Benthic invertivore
1908,Erie,Lake Whitefish,2372,,Benthic invertivore
1908,Erie,Northern Pike,2874,,Piscivore
1908,Erie,Sauger,2557,,Piscivore
1908,Erie,Suckers,1810,,Benthic omnivore
1908,Erie,Walleye,5005,,Piscivore
1908,Erie,Walleye and Blue Pike,13323,,Piscivore
1908,Erie,White Bass,222,,Piscivore
1908,Erie,Yellow Perch,2386,,Invertivore
1909,Erie,Blue Pike,,,Piscivore
1909,Erie,Burbot,,,Piscivore
1909,Erie,Carp,312,,Benthic omnivore
1909,Erie,Channel Catfish and Bullheads,31,,Benthic omnivore
1909,Erie,Cisco,4677,,Planktivore
1909,Erie,Freshwater Drum,,,Benthic invertivore
